Time,AccX,AccY,AccZ,MagX,MagY,MagZ,Heading,Gesture
14934,0,-64,-992,1078,-18987,34356,182,face up
14970,-16,-80,-992,2978,-18387,33756,189,face up
15006,32,-64,-992,2978,-18387,33756,185,face up
15042,16,-80,-992,5078,-18087,32356,192,face up
15078,48,-112,-992,5078,-18087,32356,189,face up
15114,64,-64,-1008,5078,-18087,32356,188,face up
15150,16,-32,-992,7978,-16787,32656,202,face up
15186,-32,-16,-992,7978,-16787,32656,207,face up
15222,16,-64,-992,10078,-16387,31756,207,face up
15258,80,-96,-992,10078,-16387,31756,201,face up
15294,64,-96,-992,10078,-16387,31756,202,face up
15330,-80,-64,-992,11778,-15587,31556,219,face up
15366,-80,-32,-992,11778,-15587,31556,220,face up
15402,64,-32,-1008,11778,-15587,31556,210,face up
15438,16,-48,-992,12878,-13487,32056,219,face up
15474,16,-64,-992,12878,-13487,32056,218,face up
15510,16,-64,-992,13478,-12887,31856,220,face up
15552,16,-64,-992,13478,-12887,31856,220,face up
15588,16,-48,-992,13478,-12887,31856,221,face up
15624,16,-64,-992,13778,-12887,33256,221,face up
15660,16,-64,-1008,13778,-12887,33256,221,face up
15696,16,-64,-992,13578,-13187,31256,220,face up
15732,16,-64,-992,13578,-13187,31256,220,face up
15768,16,-64,-992,13578,-13187,31256,220,face up
15804,16,-64,-992,13178,-12987,31656,220,face up
15840,16,-64,-992,13178,-12987,31656,220,face up
15876,0,-80,-992,13578,-12887,31556,221,face up
15912,32,-64,-992,13578,-12887,31556,220,face up
15948,32,-64,-992,13578,-12887,31556,220,face up
15984,-16,-64,-992,13878,-13187,31556,223,face up
16020,16,-80,-992,13878,-13187,31556,220,face up
16056,16,-64,-992,13378,-12387,30756,221,face up
16092,16,-48,-992,13378,-12387,30756,222,face up
16128,0,-64,-992,13378,-12387,30756,223,face up
16164,-32,-80,-992,14278,-11987,32456,226,face up
16200,-16,-64,-992,14278,-11987,32456,226,face up
16236,16,-80,-992,15278,-10687,31556,228,face up
16278,32,-80,-992,15278,-10687,31556,227,face up
16314,32,-80,-992,15278,-10687,31556,227,face up
16350,32,-64,-992,16078,-8787,31956,234,face up
16386,32,-64,-1008,16078,-8787,31956,234,face up
16422,0,-64,-992,16078,-8787,31956,236,face up
16458,16,-64,-992,17178,-6187,32356,243,face up
16494,32,-64,-992,17178,-6187,32356,242,face up
16530,32,-80,-992,16878,-3687,30656,248,face up
16566,16,-48,-992,16878,-3687,30656,252,face up
16602,16,-48,-992,16878,-3687,30656,252,face up
16638,0,-80,-992,16678,-1487,31156,256,face up
16674,48,-64,-992,16678,-1487,31156,256,face up
16710,0,-96,-992,15478,1713,30856,265,face up
16746,48,-64,-1008,15478,1713,30856,268,face up
16782,32,-64,-992,15478,1713,30856,268,face up
16818,32,-48,-992,13878,4713,30856,283,face up
16854,16,-64,-992,13878,4713,30856,281,face up
16890,16,-48,-992,13878,4713,30856,283,face up
16926,16,-64,-992,12178,7513,30456,295,face up
16962,0,-80,-992,12178,7513,30456,292,face up
17004,0,-64,-992,10378,9113,30956,304,face up
17040,0,-64,-992,10378,9113,30956,304,face up
17076,16,-64,-992,10378,9113,30956,305,face up
17112,16,-64,-992,7278,11113,32056,323,face up
17148,16,-64,-992,7278,11113,32056,323,face up
17184,16,-80,-1008,4278,12413,29656,339,face up
17220,32,-48,-992,4278,12413,29656,343,face up
17256,64,-64,-992,4278,12413,29656,347,face up
17292,16,-80,-992,2078,13713,32456,351,face up
17328,16,-64,-992,2078,13713,32456,352,face up
17364,32,-64,-992,-522,14713,31656,6,face up
17400,48,-80,-992,-522,14713,31656,9,face up
17436,32,-96,-992,-522,14713,31656,7,face up
17472,16,-64,-992,-4122,15413,31156,19,face up
17508,32,-32,-992,-4122,15413,31156,19,face up
17544,32,-64,-992,-7422,15013,32756,33,face up
17580,0,-96,-992,-7422,15013,32756,32,face up
17616,-16,-80,-992,-7422,15013,32756,29,face up
17652,-16,-80,-992,-10722,15213,32756,39,face up
17688,16,-64,-1008,-10722,15213,32756,40,face up
17724,64,-80,-992,-10722,15213,32756,45,face up
17760,32,-64,-992,-13722,14313,32856,50,face up
17802,32,-80,-1008,-13722,14313,32856,51,face up
17838,32,-48,-992,-16322,12613,33056,57,face up
17910,48,-48,-992,-16322,12613,33056,58,face up
17946,32,-48,-992,-18322,11413,33356,63,face up
17982,16,-64,-992,-18322,11413,33356,63,face up
18018,16,-48,-992,-19022,10313,33956,66,face up
18054,16,-64,-992,-19022,10313,33956,67,face up
18090,48,-48,-1008,-19022,10313,33956,67,face up
18126,32,-48,-992,-20022,9413,34256,69,face up
18198,16,-64,-992,-20122,9513,33856,70,face up
18234,16,-64,-992,-20122,9513,33856,70,face up
18306,16,-64,-992,-20222,9613,33356,70,face up
18342,16,-64,-992,-20222,9613,33356,70,face up
18378,16,-64,-992,-20222,9613,33356,70,face up
18414,16,-64,-992,-20122,9613,33556,70,face up
18450,16,-64,-992,-20122,9613,33556,70,face up
18522,16,-64,-992,-20022,10013,33656,69,face up
18564,16,-64,-992,-20022,10013,33656,69,face up
18600,16,-64,-992,-20122,9813,33456,69,face up
18636,16,-64,-992,-20122,9813,33456,69,face up
18672,16,-64,-992,-20822,9613,32956,70,face up
18708,16,-64,-992,-20822,9613,32956,70,face up
18744,16,-64,-992,-20822,9613,32956,70,face up
18780,16,-64,-992,-20322,9413,32956,70,face up
18816,16,-64,-992,-20322,9413,32956,70,face up
18852,16,-64,-992,-20322,9213,33556,71,face up
18888,16,-80,-992,-20322,9213,33556,72,face up
18924,32,-96,-992,-20322,9213,33556,74,face up
18960,0,-96,-992,-20522,9313,33056,73,face up
18996,-16,-80,-992,-20522,9313,33056,71,face up
19068,48,-112,-992,-20522,8913,32856,76,face up
19140,16,-48,-992,-21222,7713,33156,74,face up
19176,-16,-48,-992,-21222,7713,33156,73,face up
19212,0,-80,-992,-21222,7713,33156,76,face up
19248,16,-112,-992,-21922,5713,33256,84,face up
19284,16,-96,-992,-21922,5713,33256,83,face up
19326,48,-48,-992,-23322,3313,34756,86,face up
19362,32,-64,-992,-23322,3313,34756,87,face up
19398,32,-64,-992,-23322,3313,34756,87,face up
19434,16,-80,-1008,-23322,513,34256,95,face up
19470,32,-64,-992,-23322,513,34256,93,face up
19506,-16,-80,-992,-22922,-2687,34156,103,face up
19542,0,-80,-992,-22922,-2687,34156,103,face up
19578,48,-64,-992,-22922,-2687,34156,101,face up
19614,16,-64,-992,-21722,-5887,34556,109,face up
