Time,AccX,AccY,AccZ,MagX,MagY,MagZ,Heading,Gesture
25482,128,800,-656,-22036,-53845,24820,125,
25524,144,800,-640,-22036,-53845,24820,125,
25560,128,800,-640,-22436,-53445,23320,126,
25596,144,832,-688,-22436,-53445,23320,127,
25632,128,800,-640,-22436,-53445,23320,126,
25668,112,800,-640,-21836,-53145,22920,126,
25704,112,784,-640,-21836,-53145,22920,127,
25740,128,800,-640,-21836,-53145,22920,126,
25776,128,800,-640,-21136,-52845,22320,128,
25812,128,800,-656,-21136,-52845,22320,128,
25848,128,784,-656,-21436,-53445,23920,127,
25884,128,800,-656,-21436,-53445,23920,127,
25920,128,800,-624,-21436,-53445,23920,125,
25956,128,800,-640,-21436,-53645,23220,127,
25992,128,800,-640,-21436,-53645,23220,127,
26034,112,784,-656,-21436,-53645,23220,128,
26070,128,784,-656,-21536,-53545,23020,128,
26106,128,784,-608,-21536,-53545,23020,126,
26142,144,800,-656,-22236,-53345,22920,127,
26178,96,784,-624,-22236,-53345,22920,125,
26214,128,800,-656,-22236,-53345,22920,127,
26250,128,800,-624,-21636,-52745,24420,123,
26292,128,800,-656,-21636,-52745,24420,125,
26328,128,800,-640,-21536,-53645,23820,126,
26370,128,800,-640,-21536,-53645,23820,126,
26406,112,800,-624,-21536,-53645,23820,125,
26442,112,784,-656,-21336,-53545,23120,128,
26478,128,800,-640,-21336,-53545,23120,127,
26514,128,800,-656,-21336,-53545,23120,128,
26550,128,784,-656,-21636,-53545,23620,128,
26586,112,800,-656,-21636,-53545,23620,127,
26622,128,800,-640,-21936,-53845,22620,127,
26658,128,800,-656,-21936,-53845,22620,128,
26694,112,800,-640,-21936,-53845,22620,127,
26730,112,800,-624,-21436,-53745,23720,125,
26766,128,800,-640,-21436,-53745,23720,126,
26802,112,784,-624,-21436,-53745,23720,126,
26844,128,800,-640,-22136,-53245,23220,126,
26880,112,784,-640,-22136,-53245,23220,126,
26916,128,816,-608,-21636,-52945,23020,124,
26952,128,800,-640,-21636,-52945,23020,126,
26988,128,800,-640,-21636,-52945,23020,126,
27024,128,800,-656,-22036,-53145,23220,127,
27066,112,800,-640,-22036,-53145,23220,126,
27102,112,784,-672,-21536,-52945,22020,130,
27144,128,800,-656,-21536,-52945,22020,128,
27180,144,800,-624,-21536,-52945,22020,127,
27216,128,800,-640,-21836,-53845,23520,126,
27252,112,800,-624,-21836,-53845,23520,125,
27288,128,800,-656,-21836,-53845,23520,127,
