Time,AccX,AccY,AccZ,MagX,MagY,MagZ,Heading,Gesture
26808,0,416,-912,8978,-33087,24956,204,face up
26844,0,448,-896,8978,-33087,24956,205,face up
26880,32,432,-912,8978,-33087,24956,202,face up
26916,16,480,-896,9378,-34087,23556,205,face up
26952,16,480,-896,9378,-34087,23556,205,face up
26988,16,496,-896,9478,-34687,23256,205,face up
27024,32,464,-848,9478,-34687,23256,204,face up
27060,0,448,-848,9478,-34687,23256,205,face up
27096,0,512,-880,9578,-35387,24056,207,face up
27138,16,512,-896,9578,-35387,24056,206,face up
27174,16,496,-880,9678,-35587,22556,205,face up
27210,16,480,-880,9678,-35587,22556,204,face up
27246,16,528,-864,9678,-35587,22556,206,face up
27282,32,448,-880,9578,-35287,22656,202,face up
27318,0,336,-960,9578,-35287,22656,200,face up
27354,16,480,-928,9678,-33887,23656,205,face up
27390,16,336,-944,9678,-33887,23656,201,face up
27426,-16,272,-976,9678,-33887,23656,200,face up
27462,0,256,-992,8978,-29487,27956,202,face up
27498,0,240,-992,8978,-29487,27956,202,face up
27570,0,112,-1008,8178,-26087,29456,199,face up
27606,0,112,-1024,8178,-26087,29456,199,face up
27642,0,96,-992,7178,-22687,32756,200,face up
27678,0,-16,-1008,7178,-22687,32756,197,face up
27714,0,0,-992,7178,-22687,32756,197,face up
27750,16,-16,-992,6778,-18987,32756,197,face up
27786,0,-80,-1008,6778,-18987,32756,197,face up
27822,0,-80,-1008,6678,-15487,33856,200,face up
27858,0,-112,-992,6678,-15487,33856,199,face up
27900,0,-128,-976,6678,-15487,33856,198,face up
27936,0,-176,-992,5678,-13387,35356,196,face up
27972,16,-192,-976,5678,-13387,35356,194,face up
28008,0,-208,-976,5978,-11387,34756,198,face up
28080,0,-256,-976,5978,-11387,34756,196,face up
28116,0,-272,-960,6378,-9187,33956,199,face up
28188,0,-320,-960,6278,-6287,34756,200,face up
28224,0,-336,-944,6278,-6287,34756,199,face up
28260,0,-368,-928,6278,-6287,34756,198,face up
28296,0,-400,-928,5778,-3887,34856,198,face up
28332,0,-416,-928,5778,-3887,34856,197,face up
28368,0,-416,-912,5778,-3887,34856,197,face up
28404,16,-480,-912,5478,-1587,33356,196,face up
